track_name,artist_name,id,url,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Love Letter,BOL4,2qPQ2MoVwf7VsKddqPfttw,https://api.spotify.com/v1/tracks/2qPQ2MoVwf7VsKddqPfttw,0.152,0.728,0.764,0,0.178,-2.502,0.0345,109.985,0.603
Bad Boy,Red Velvet,5GKwq4sO5ZHKuWaDmdwMQc,https://api.spotify.com/v1/tracks/5GKwq4sO5ZHKuWaDmdwMQc,0.191,0.714,0.736,0,0.0553,-3.801,0.0457,149.985,0.814
Take You Dancing,Jason Derulo,59qrUpoplZxbIZxk6X0Bm3,https://api.spotify.com/v1/tracks/59qrUpoplZxbIZxk6X0Bm3,0.0332,0.789,0.711,0,0.0876,-4.248,0.041,112.985,0.753
bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,0.562
Celebrity,IU,4RewTiGEGoO7FWNZUmp1f4,https://api.spotify.com/v1/tracks/4RewTiGEGoO7FWNZUmp1f4,0.191,0.73,0.784,0,0.0956,-2.62,0.0691,99.995,0.673
AYA,MAMAMOO,4BZXVFYCb76Q0Klojq4piV,https://api.spotify.com/v1/tracks/4BZXVFYCb76Q0Klojq4piV,0.101,0.634,0.858,8.56E-06,0.258,-2.226,0.0809,91.688,0.637
Something,Girl's Day,3xHIyErJUeuy0MpjUKRuPw,https://api.spotify.com/v1/tracks/3xHIyErJUeuy0MpjUKRuPw,0.179,0.813,0.683,0,0.0748,-3.813,0.0285,107.95,0.668
I Need U,BTS,7dlNGfd6Fq8xcFb4K6Glws,https://api.spotify.com/v1/tracks/7dlNGfd6Fq8xcFb4K6Glws,0.0184,0.475,0.897,0,0.296,-2.383,0.0736,78.918,0.642
Permission to Dance,BTS,0LThjFY2iTtNdd4wviwVV2,https://api.spotify.com/v1/tracks/0LThjFY2iTtNdd4wviwVV2,0.00544,0.702,0.741,0,0.337,-5.33,0.0427,124.925,0.646
Butter,BTS,2bgTY4UwhfBYhGT4HUYStN,https://api.spotify.com/v1/tracks/2bgTY4UwhfBYhGT4HUYStN,0.00323,0.759,0.459,0,0.0906,-5.187,0.0948,109.997,0.695
Oh my god - English Version,(G)I-DLE,2EJbMzocEZ6VHnZKQ8pt8H,https://api.spotify.com/v1/tracks/2EJbMzocEZ6VHnZKQ8pt8H,0.0361,0.794,0.756,0.000351,0.253,-3.528,0.0402,109.971,0.518
FIESTA,IZ*ONE,6Ihdn6wW2UBhfTKWbP29KA,https://api.spotify.com/v1/tracks/6Ihdn6wW2UBhfTKWbP29KA,0.0617,0.756,0.927,0,0.343,-2.116,0.0594,123.005,0.723
U Like Me?,Jinnie,4ZIMfEqahpJgo4M8GIJskd,https://api.spotify.com/v1/tracks/4ZIMfEqahpJgo4M8GIJskd,0.285,0.8,0.554,0,0.161,-6.333,0.0576,125.029,0.397
abcdefu,GAYLE,4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/tracks/4fouWK6XVHhzl78KzQ1UjL,0.299,0.695,0.54,0,0.367,-5.692,0.0493,121.932,0.415
You & Me,MEUTE,1MdbDBwEEecnlLiyWChJFh,https://api.spotify.com/v1/tracks/1MdbDBwEEecnlLiyWChJFh,0.652,0.661,0.548,0.265,0.0913,-4.053,0.0407,75.068,0.0954
Stayin Alive,Bee Gees,5ubvP9oKmxLUVq506fgLhk,https://api.spotify.com/v1/tracks/5ubvP9oKmxLUVq506fgLhk,0.0288,0.702,0.773,0.00871,0.147,-9.256,0.0343,103.564,0.953
Africa,TOTO,2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,0.257,0.671,0.373,8.01E-05,0.0481,-18.064,0.0323,92.718,0.732
September,"Earth, Wind & Fire",2grjqo0Frpf2okIBiifQKs,https://api.spotify.com/v1/tracks/2grjqo0Frpf2okIBiifQKs,0.168,0.697,0.832,0.00131,0.269,-7.264,0.0298,125.926,0.979
